model,condition,n_ideas,mean_creativity,pct_high_value,pct_noise
gpt-4.1,baseline,60,0.39133333333333337,0.13333333333333333,0.0
gpt-4.1,creative,60,0.616,0.6333333333333333,0.0
gpt-4.1-mini,baseline,60,0.5246666666666667,0.36666666666666664,0.0
gpt-4.1-mini,creative,60,0.6266666666666667,0.6666666666666666,0.016666666666666666
gpt-4o,baseline,60,0.5,0.3,0.0
gpt-4o,creative,60,0.5579999999999999,0.48333333333333334,0.0
gpt-4o-mini,baseline,60,0.41466666666666663,0.13333333333333333,0.0
gpt-4o-mini,creative,59,0.5810169491525424,0.4745762711864407,0.01694915254237288
